# Copyright (C) 1991-2007 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 7.2 Build 151 09/26/2007 SJ Web Edition
# File: D:\Faculdade\IC_VHDL\Developments\Prewitt_Filter_VHDL\PrewittVHDL_1.0\quartus\decod7seg\decod7seg.csv
# Generated on: Fri Aug 24 09:00:55 2012

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,Vref Group,I/O Standard,Reserved,Group
,Unknown,PIN_A22,4,B4_N0,3.3-V LVTTL,,
,Unknown,PIN_B22,4,B4_N0,3.3-V LVTTL,,
,Unknown,PIN_B21,4,B4_N0,3.3-V LVTTL,,
,Unknown,PIN_A21,4,B4_N0,3.3-V LVTTL,,
,Unknown,PIN_J18,4,B4_N0,3.3-V LVTTL,,
,Unknown,PIN_K17,4,B4_N0,3.3-V LVTTL,,
,Unknown,PIN_J16,4,B4_N0,3.3-V LVTTL,,
,Unknown,PIN_K16,4,B4_N0,3.3-V LVTTL,,
,Unknown,PIN_D20,4,B4_N0,3.3-V LVTTL,,
,Unknown,PIN_E20,4,B4_N0,3.3-V LVTTL,,
,Unknown,PIN_B20,4,B4_N0,3.3-V LVTTL,,
,Unknown,PIN_A20,4,B4_N0,3.3-V LVTTL,,
,Unknown,PIN_C19,4,B4_N0,3.3-V LVTTL,,
,Unknown,PIN_D19,4,B4_N0,3.3-V LVTTL,,
,Unknown,PIN_B19,4,B4_N0,3.3-V LVTTL,,
,Unknown,PIN_A19,4,B4_N0,3.3-V LVTTL,,
,Unknown,PIN_E18,4,B4_N0,3.3-V LVTTL,,
,Unknown,PIN_D18,4,B4_N0,3.3-V LVTTL,,
,Unknown,PIN_G18,4,B4_N0,3.3-V LVTTL,,
,Unknown,PIN_F18,4,B4_N0,3.3-V LVTTL,,
,Unknown,PIN_J17,4,B4_N0,3.3-V LVTTL,,
,Unknown,PIN_H17,4,B4_N0,3.3-V LVTTL,,
,Unknown,PIN_F17,4,B4_N0,3.3-V LVTTL,,
,Unknown,PIN_G17,4,B4_N0,3.3-V LVTTL,,
,Unknown,PIN_D17,4,B4_N1,3.3-V LVTTL,,
,Unknown,PIN_C17,4,B4_N1,3.3-V LVTTL,,
,Unknown,PIN_B18,4,B4_N1,3.3-V LVTTL,,
,Unknown,PIN_A18,4,B4_N1,3.3-V LVTTL,,
,Unknown,PIN_G16,4,B4_N1,3.3-V LVTTL,,
,Unknown,PIN_F16,4,B4_N1,3.3-V LVTTL,,
,Unknown,PIN_F15,4,B4_N1,3.3-V LVTTL,,
,Unknown,PIN_G15,4,B4_N1,3.3-V LVTTL,,
,Unknown,PIN_B17,4,B4_N1,3.3-V LVTTL,,
,Unknown,PIN_A17,4,B4_N1,3.3-V LVTTL,,
,Unknown,PIN_H16,4,B4_N1,3.3-V LVTTL,,
,Unknown,PIN_H15,4,B4_N1,3.3-V LVTTL,,
,Unknown,PIN_D16,4,B4_N1,3.3-V LVTTL,,
,Unknown,PIN_E15,4,B4_N1,3.3-V LVTTL,,
,Unknown,PIN_D15,4,B4_N1,3.3-V LVTTL,,
,Unknown,PIN_C16,4,B4_N1,3.3-V LVTTL,,
,Unknown,PIN_B16,4,B4_N1,3.3-V LVTTL,,
,Unknown,PIN_B15,4,B4_N1,3.3-V LVTTL,,
,Unknown,PIN_C15,4,B4_N1,3.3-V LVTTL,,
,Unknown,PIN_G13,4,B4_N1,3.3-V LVTTL,,
,Unknown,PIN_F13,4,B4_N1,3.3-V LVTTL,,
,Unknown,PIN_G14,4,B4_N1,3.3-V LVTTL,,
,Unknown,PIN_F14,4,B4_N1,3.3-V LVTTL,,
,Unknown,PIN_D14,4,B4_N1,3.3-V LVTTL,,
,Unknown,PIN_A14,4,B4_N1,3.3-V LVTTL,,
,Unknown,PIN_B14,4,B4_N1,3.3-V LVTTL,,
,Unknown,PIN_D13,3,B3_N0,3.3-V LVTTL,,
,Unknown,PIN_B12,3,B3_N0,3.3-V LVTTL,,
,Unknown,PIN_C12,3,B3_N0,3.3-V LVTTL,,
,Unknown,PIN_B11,3,B3_N0,3.3-V LVTTL,,
,Unknown,PIN_C11,3,B3_N0,3.3-V LVTTL,,
,Unknown,PIN_J11,3,B3_N0,3.3-V LVTTL,,
,Unknown,PIN_J10,3,B3_N0,3.3-V LVTTL,,
,Unknown,PIN_G12,3,B3_N0,3.3-V LVTTL,,
,Unknown,PIN_F12,3,B3_N0,3.3-V LVTTL,,
,Unknown,PIN_J14,3,B3_N0,3.3-V LVTTL,,
,Unknown,PIN_J13,3,B3_N0,3.3-V LVTTL,,
,Unknown,PIN_D12,3,B3_N0,3.3-V LVTTL,,
,Unknown,PIN_E12,3,B3_N0,3.3-V LVTTL,,
,Unknown,PIN_D11,3,B3_N0,3.3-V LVTTL,,
,Unknown,PIN_G11,3,B3_N0,3.3-V LVTTL,,
,Unknown,PIN_A10,3,B3_N0,3.3-V LVTTL,,
,Unknown,PIN_B10,3,B3_N0,3.3-V LVTTL,,
,Unknown,PIN_D10,3,B3_N0,3.3-V LVTTL,,
,Unknown,PIN_C10,3,B3_N0,3.3-V LVTTL,,
,Unknown,PIN_A9,3,B3_N0,3.3-V LVTTL,,
,Unknown,PIN_B9,3,B3_N0,3.3-V LVTTL,,
,Unknown,PIN_E10,3,B3_N0,3.3-V LVTTL,,
,Unknown,PIN_F11,3,B3_N0,3.3-V LVTTL,,
,Unknown,PIN_H12,3,B3_N0,3.3-V LVTTL,,
,Unknown,PIN_H11,3,B3_N0,3.3-V LVTTL,,
,Unknown,PIN_A8,3,B3_N0,3.3-V LVTTL,,
,Unknown,PIN_B8,3,B3_N0,3.3-V LVTTL,,
,Unknown,PIN_C9,3,B3_N1,3.3-V LVTTL,,
,Unknown,PIN_D9,3,B3_N1,3.3-V LVTTL,,
,Unknown,PIN_G10,3,B3_N1,3.3-V LVTTL,,
,Unknown,PIN_F10,3,B3_N1,3.3-V LVTTL,,
,Unknown,PIN_C8,3,B3_N1,3.3-V LVTTL,,
,Unknown,PIN_D8,3,B3_N1,3.3-V LVTTL,,
,Unknown,PIN_A7,3,B3_N1,3.3-V LVTTL,,
,Unknown,PIN_B7,3,B3_N1,3.3-V LVTTL,,
,Unknown,PIN_D6,3,B3_N1,3.3-V LVTTL,,
,Unknown,PIN_C7,3,B3_N1,3.3-V LVTTL,,
,Unknown,PIN_D7,3,B3_N1,3.3-V LVTTL,,
,Unknown,PIN_F9,3,B3_N1,3.3-V LVTTL,,
